antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"('Coffee', 'Tea')","('Cake',)",0.049867934495509775,0.10385631273111463,0.010036978341257264,0.20127118644067796,1.9379773953825197,1.0,0.0048578785410368615,1.1219623883048115,0.5094008790462757,0.06985294117647059,0.10870452483624343,0.14895705812369606
"('Cake',)","('Tea',)",0.10385631273111463,0.14263074484944532,0.02377179080824089,0.2288911495422177,1.6047812817904374,1.0,0.008958687566085076,1.1118654060857458,0.42053760905446824,0.10673624288425049,0.10061056443833524,0.1977789081044422
"('Toast',)","('Coffee',)",0.03359746434231379,0.47839408346539886,0.023666138404648707,0.7044025157232704,1.4724314954330286,1.0,0.007593310243846081,1.7645817176383314,0.33200580986740375,0.0484638684552142,0.4332934598583662,0.3769362401937907
"('Sandwich',)","('Tea',)",0.07184363444268357,0.14263074484944532,0.014368726888536715,0.2,1.4022222222222223,1.0,0.004121615795285492,1.0717115689381933,0.309049516220831,0.07180570221752904,0.06691312384473198,0.15037037037037038
"('Spanish Brunch',)","('Coffee',)",0.018172213417855257,0.47839408346539886,0.010882197569994718,0.5988372093023255,1.2517655004519679,1.0,0.0021887181874222297,1.3002350383181362,0.2048509213010315,0.022405916902327606,0.23090828155691936,0.31079227956282357
"('Medialuna',)","('Coffee',)",0.061806656101426306,0.47839408346539886,0.03518225039619651,0.5692307692307692,1.1898783636857841,1.0,0.00561431179849357,1.2108708776696098,0.17009069880691494,0.06966527196652719,0.17414811236970434,0.32138658602881215
"('Pastry',)","('Coffee',)",0.0861067089276281,0.47839408346539886,0.04754358161648178,0.5521472392638037,1.154168202215526,1.0,0.006350641518827256,1.1646817040430137,0.146160565189467,0.09196811771919068,0.1413963175272234,0.32576443235274993
"('Alfajores',)","('Coffee',)",0.036344426835710514,0.47839408346539886,0.0196513470681458,0.5406976744186046,1.1302348693401265,1.0,0.002264388303000825,1.1356483246069797,0.11957399502271142,0.03969270166453265,0.11944571366661787,0.2908877064672528
"('Juice',)","('Coffee',)",0.03856312731114633,0.47839408346539886,0.020602218700475437,0.5342465753424658,1.11674996369621,1.0,0.0021538467549000982,1.1199185855007614,0.10873767258382645,0.041507024265644954,0.10707794928426947,0.28865597318360037
"('Sandwich',)","('Coffee',)",0.07184363444268357,0.47839408346539886,0.038246170100369785,0.5323529411764706,1.1127916493452503,1.0,0.0038766004483390126,1.1153837208916,0.1092048538285688,0.07470078415187784,0.10344755686353937,0.30614996882145085
"('Cake',)","('Coffee',)",0.10385631273111463,0.47839408346539886,0.054727945060750134,0.5269582909460835,1.1015150670946732,1.0,0.005043699519652715,1.1026636902226088,0.10284008197236212,0.10374524334067695,0.09310516990169738,0.3206787921161513
"('Scone',)","('Coffee',)",0.03454833597464342,0.47839408346539886,0.018066561014263075,0.5229357798165138,1.0931067040554998,1.0,0.0015388414904188678,1.0933662481206066,0.08822422657650915,0.03650725875320239,0.08539338787994802,0.2803503987421792
"('Cookies',)","('Coffee',)",0.054410987849973586,0.47839408346539886,0.02820919175911252,0.5184466019417476,1.083722854986449,1.0,0.002179297096177455,1.083173576674676,0.08170024899043797,0.055904522613065326,0.07678693282937839,0.288706516518577
"('Hot chocolate',)","('Coffee',)",0.05832012678288431,0.47839408346539886,0.029582673005810883,0.5072463768115942,1.0603107236134584,1.0,0.0016826694059270814,1.0585531835555142,0.060402942732124765,0.058333333333333334,0.05531435214132859,0.28454191632099146
"('Pastry',)","('Bread',)",0.0861067089276281,0.32720549392498677,0.029160063391442156,0.33865030674846625,1.0349774470049187,1.0,0.0009854751665225349,1.017305236458508,0.036979559353271456,0.07590759075907591,0.017010859512285374,0.21388440426218921
"('Brownie',)","('Coffee',)",0.04004226096143687,0.47839408346539886,0.0196513470681458,0.4907651715039578,1.025859617554099,1.0,0.000495366335616889,1.0242934837648388,0.026259233749665756,0.03939843253547977,0.02371730773444614,0.2659214550099294
"('Muffin',)","('Coffee',)",0.03845747490755415,0.47839408346539886,0.018806127839408347,0.489010989010989,1.0221928027802585,1.0,0.00040829937861540724,1.0207771699924455,0.022579318978405916,0.03775986423419601,0.020354265948756462,0.2641609715372966
"('Soup',)","('Coffee',)",0.03444268357105124,0.47839408346539886,0.01584786053882726,0.4601226993865031,0.961806835179605,1.0,-0.00062931550023455,0.9661564135811364,-0.03950174744329564,0.03188775510204082,-0.035029096679511554,0.24662495393353423
"('Bread', 'Cake')","('Coffee',)",0.02334918119387216,0.47839408346539886,0.010036978341257264,0.4298642533936652,0.8985567929264666,1.0,-0.0011331317956527354,0.9148802186837053,-0.10361715353687326,0.020412548345509242,-0.09303926304009706,0.22542240938234495
"('Cake', 'Tea')","('Coffee',)",0.02377179080824089,0.47839408346539886,0.010036978341257264,0.4222222222222222,0.8825824499411071,1.0,-0.001335305734782329,0.9027794709252714,-0.119933829611249,0.02039501932159725,-0.10769023023428535,0.22160139379662347
"('Alfajores',)","('Bread',)",0.036344426835710514,0.32720549392498677,0.01035393555203381,0.28488372093023256,0.8706568997754768,1.0,-0.0015381605821653942,0.9408183336983925,-0.1335697170374621,0.029314986539036796,-0.06290445687741025,0.15826362346156447
"('Medialuna',)","('Bread',)",0.061806656101426306,0.32720549392498677,0.016904384574749076,0.27350427350427353,0.8358792214136097,1.0,-0.0033190928627699137,0.9260818495385477,-0.17306164497175713,0.045428733674048836,-0.07981816131941752,0.16258358654225624
"('Brownie',)","('Bread',)",0.04004226096143687,0.32720549392498677,0.010776545166402536,0.2691292875989446,0.8225084621001004,1.0,-0.0023255026093576305,0.9205383314167149,-0.1835363248333853,0.030231179608772973,-0.08632086885615405,0.15103219304067347
"('Cookies',)","('Bread',)",0.054410987849973586,0.32720549392498677,0.014474379292128896,0.26601941747572816,0.813004128643128,1.0,-0.0033291948622681637,0.9166380175360631,-0.19565074783521372,0.039424460431654686,-0.09094318680782548,0.15512788762065388
"('Bread', 'Pastry')","('Coffee',)",0.029160063391442156,0.47839408346539886,0.011199154780771263,0.38405797101449274,0.802806690735904,1.0,-0.002750847019170638,0.8468425468444113,-0.20192024069376446,0.02256279267773521,-0.18085705982333936,0.2037339325037128
"('Tea',)","('Coffee',)",0.14263074484944532,0.47839408346539886,0.049867934495509775,0.3496296296296296,0.7308402041617589,1.0,-0.01836576996072778,0.8020136529860041,-0.3004821389436774,0.08731039585645578,-0.2468615668534648,0.226934956157571
"('Sandwich',)","('Bread',)",0.07184363444268357,0.32720549392498677,0.017010036978341258,0.23676470588235293,0.7235963646033163,1.0,-0.006497594914843214,0.8815033990963566,-0.2915606467382593,0.04452433628318584,-0.13442557456399643,0.1443752492924842
"('Coffee', 'Pastry')","('Bread',)",0.04754358161648178,0.32720549392498677,0.011199154780771263,0.23555555555555555,0.7199009794424712,1.0,-0.004357366325012577,0.8801090922492906,-0.29002563245291424,0.030804998546934036,-0.1362227805695142,0.13489111326373193
"('Hot chocolate',)","('Bread',)",0.05832012678288431,0.32720549392498677,0.01341785525620708,0.23007246376811594,0.7031436453229634,1.0,-0.00566481063355443,0.8738413349491937,-0.30955021226760343,0.036059057353776264,-0.14437250792003492,0.1355399451549653
"('Cake',)","('Bread',)",0.10385631273111463,0.32720549392498677,0.02334918119387216,0.22482197355035605,0.6870971842602906,1.0,-0.010633174910540093,0.8679225714852205,-0.33694715589216956,0.05726872246696035,-0.15217651073270724,0.14809067679778054
"('Bread',)","('Coffee',)",0.32720549392498677,0.47839408346539886,0.09001584786053883,0.2751049402647724,0.5750592446126481,1.0,-0.06651732451054836,0.719560589535706,-0.5234308325337133,0.12579359220434078,-0.38973703471621013,0.23163374221719185
